Date (MM/DD/YY H:MM:SS AM/PM),Cell Line,ID,Name,Initial Volume (mL),Sample Volume (mL),Volume Before Sampling (mL),Volume After Sampling (mL),Feed Media Added (mL),base,osmo,vcd,dcd,tcd,IgG (mg/L),NH4+,Na+,Titer,PCV,pCO2,pHoff,pO2,air sparge,air sparge sp,air sparge total,co2 sparge,co2 sparge total,do2 controller output,do2 primary,do2 secondary,flowrate overlay,oxygen sparge,oxygen sparge total,ph controller output,ph primary,pressure exhaust valve,sparge total,temperature,temperature jacket,weight load cell,Titer_range,Titer_group,viab,Titer_category,Run Time (day),Run Time (hr),glc,lac,glc_after,lac_after,ccell,ivcc,IgG (mg),cglc,clac,mu,IgG (mg/10^9 cells/hr),qglc,qlac,mu_poly,qIgG_poly (mg/10^9 cells/hr),qglc_poly,qlac_poly,mu_s
2022-01-01 10:00:00,80L,294595,Genentech,80000,0,72659.01123,72659.01123,0,0,279.3576748,0.327400352,0.0192008417447415,0.346601193744741,0,1.888877829,93.17792567,0.988606569,0.077718091,36.17509691,7.204261927,129.499509,0.472116964,9.368551393,159.7546819,0.020401196,6.32270802,9.370946336,30.35102592,30.15317286,4.998026075,0.003613483,0.004699908,47.87399487,7.228587694,30.84601034,0.466279501,37.01465103,37.29900513,0,0.95-1.00,Middle 60%,94.46024939000016,0,0,10,39.3752438109194,6.94027717584369,39.3752438109194,6.94027717584369,12895.41969202858,2.54837992,0,-486.5337600314128,223.9881407064266,0.07436429213308586,0,-2.805704624406301,1.29167719451085,0.05318165618007334,0,-0.7275845654612367,0.8636047286155194,-0.0066140687920920455
2022-01-01 20:00:00,80L,294595,Genentech,80000,0,71237.75826,71237.75826,0,0,278.1308989,0.344328325,0.0190164292309063,0.363344754230906,0,2.33527947,93.38217056,0.988606569,0.071932694,31.21044299,7.193377268,111.4765644,0.82137142,16.63185009,546.8062616,0.028660141,22.24898268,16.64270783,29.94915157,29.44671001,4.998192401,0.002926396,2.436430931,47.00930664,7.229895477,32.84842411,0.822343117,36.97785877,37.29603695,0,0.95-1.00,Middle 60%,94.76628491000008,0,0,20,38.6814898698905,9.68913122779751,38.6814898698905,9.68913122779751,13636.01181777534,5.907023305,0,-381.1501022777301,409.9464516027432,0.003065506625412807,0,0.4362108235061307,0.7697306172792874,0.005824011325965509,0,0.2789439481162552,0.907281286559324,0.02311993794085765
2022-01-02 06:00:00,80L,294595,Genentech,80000,0,69702.2686,69702.2686,0,0,277.3404775,0.296472341,0.0138789729544461,0.310351313954446,0,2.80717885,93.58641545,0.988606569,0.139614588,26.28513401,7.187574799,108.3184469,0.785525901,15.63518576,1056.028801,0.011163616,34.72937328,18.08470306,27.76331585,27.22112474,4.996864285,0.055647943,10.61298634,48.85503895,7.230025959,33.07122414,0.838473494,37.01638031,37.30794739,0,0.95-1.00,Middle 60%,95.52797996000004,0,1,30,37.2423461722063,13.0249884547069,37.2423461722063,13.0249884547069,9771.628584207418,9.111026635,0,-221.4434939791369,627.5857072293663,-0.01710132126347851,0,0.7067606526936244,0.9631339867342338,0.003577785135636842,0,0.9806665655860297,1.101511106457667,0.031549679417728085
2022-01-02 16:00:00,80L,294595,Genentech,80000,0,68742.14661,68742.14661,0,0,272.545844,0.393873901,0.0182255583268884,0.412099459326888,0,3.307351132,93.18904603,0.988606569,0.211454854,21.40345223,7.172122205,121.6430377,0.932500817,18.75915434,1595.354358,0.001993404,38.67852386,20.99826372,29.84424259,29.71016613,4.998835611,0.053613697,19.09767342,49.7682172,7.227925505,34.70193218,0.996336078,37.01361038,37.27161789,0,0.95-1.00,Middle 60%,95.5773884400001,0,1,40,35.2091925386886,16.6270346691829,35.2091925386886,16.6270346691829,16182.57128774926,12.562757845,0,-45.9229533040812,862.692518366011,0.02685744129366293,0,0.7353103646376272,0.9849358619839554,0.03111206145291472,0,0.8480217673882924,0.8150044142052157,0.030748109371210336
2022-01-03 02:00:00,80L,294595,Genentech,80000,0,69056.59172,69056.59172,0,35.7373039999999,278.7155099,0.857884176,0.0694542547775146,0.927338430777514,0,3.807523414,93.98026352,0.988606569,0.295408639,16.52177046,7.114370836,134.9676285,0.786915654,15.65784403,2118.674426,0.001910711,38.67936325,20.20496672,28.08305284,27.96316492,4.998805342,0.122378322,41.66483471,50.32859798,7.170685477,34.1911643,0.902540642,36.96409607,37.33502197,0,0.95-1.00,Middle 60%,92.51036596000006,0,2,50,33.4358383290037,20.005046170071,33.4358383290037,20.005046170071,48349.39112443525,18.82154823,0,65.46748590823265,1101.19476915383,0.07453071202578176,0,0.2580923072130972,0.5526111272801242,0.04926231871947455,0,0.2519960436138793,0.3404292272528598,0.02881449337111898
2022-01-03 12:00:00,80L,294595,Genentech,80000,0,68613.94455,68613.94455,0,123.009975,278.2420263,1.34365289,0.0638879319340526,1.40754082193405,0,4.46418651,94.77148101,0.988606569,0.330185545,16.67001826,7.113675357,122.2233994,0.83711444,16.48184675,2614.348337,0.001950083,38.67936325,22.81503826,30.02291517,29.78027492,4.997804437,0.167094707,129.3277533,50.34552303,7.172291045,34.3288451,1.00360036,37.01638031,37.34733234,0,0.95-1.00,Middle 60%,95.46102458000017,0,2,60,31.0556710850596,22.4158618561278,31.0556710850596,22.4158618561278,81300.15872826187,29.82923356,0,243.5804284168505,1257.7551658843,0.04351778076739937,0,0.2352321523164242,0.2067679000286006,0.0558816914962035,0,-0.04154856914425153,0.1851073092429201,0.029874408824392018
2022-01-01 00:00:00,80L,294596,Genentech,80000,0,75486.20636,75486.20636,0,0,278.0971585,0.207847547,0.0072177533597239,0.215065300359723,0,1.516125005,95.2309207,1.110908413,0.05724091,51.29282776,7.131942228,147.9280533,0,0,194.2736206,0.02246151,27.01695633,0,83.72585404,84.82550278,5.02758378,0.036968719,0,47.89728134,7.230664883,39.16328384,0.02298105,36.98831505,37.27930282,0,1.10-1.15,Top 20%,96.64392473000042,1,0,0,41.1571690812407,1.85068503552397,,,0,0,0,0,0,,,,,,0,-3.013702046501652,1.072979681967217,0.014426422674747764
2022-01-01 10:00:00,80L,294596,Genentech,80000,0,85426.99257,85426.99257,0,48.726667,277.3690768,0.34602715,0.0118067706099758,0.357833920609975,0,1.943709671,92.9804753,1.110908413,0.079004129,43.56629841,7.190739801,131.0872225,0.673212847,13.28457285,170.3376535,0.04004599,0.181094823,13.43369617,27.70136011,28.19425701,5.028534565,0.037118224,0,46.10806114,7.231785784,40.54053844,0.707093525,36.99141674,37.24269085,0,1.10-1.15,Top 20%,96.70048871000022,1,0,10,41.9519472568218,4.16376710701598,41.9519472568218,4.16376710701598,13870.43594780648,2.769373485,0,-477.0301281456007,215.9969092153382,0.06130622562847569,0,-2.108435291992373,0.9546891893836283,0.0312571194412849,0,-0.4495022635721946,0.6435655751445,0.01337012677577748
2022-01-01 20:00:00,80L,294596,Genentech,80000,0,83565.37773,83565.37773,0,48.726667,276.640995,0.468337615,0.0103422425009434,0.478679857500943,0,2.371294336,90.7300299,1.110908413,0.105521564,35.83976906,7.223500041,114.2463917,0.768384469,15.22484803,565.3252716,0.032275449,0.183835208,15.2416219,30.50616694,30.89533588,5.028584042,0.038517527,4.475114899,46.79486073,7.229325476,40.63856373,0.80495516,36.98778049,37.21530651,0,1.10-1.15,Top 20%,97.83942392000009,1,0,20,40.8908333666378,6.45828321492007,40.8908333666378,6.458283214920071,23447.18687838051,6.84119731,0,-310.2593775176275,399.9876838431881,0.02788118627008312,0,0.4855265002053668,0.5356598596501745,0.03767179373019865,0,0.2621608149251574,0.5593169420724933,0.011374600201630754
2022-01-02 06:00:00,80L,294596,Genentech,80000,0,83031.58669,83031.58669,0,48.726667,274.0178096,0.589268937,0.006035776030975,0.595304713030975,0,2.821494534,89.1094545,1.110908413,0.140748637,28.67410932,7.229357777,101.8801114,0.949373175,18.69166027,1082.843912,0.026708683,0.183835208,21.05342127,30.34298441,30.51561468,5.027976599,0.073416991,13.27637291,47.41792679,7.231114316,40.69530117,0.999453565,37.01658188,37.25979931,0,1.10-1.15,Top 20%,98.9861031,1,1,30,38.223515164635,8.95800968028419,38.223515164635,8.95800968028419,33238.31200197786,12.12923007,0,-66.96055452897349,604.0965648394496,0.02223619718873134,0,0.5525453444286346,0.463542776597328,0.03518226340385692,0,0.4774063207940288,0.5198008070378142,0.019827071316107225
2022-01-02 16:00:00,80L,294596,Genentech,80000,0,84169.03458,84169.03458,0,48.726667,271.9665241,0.75536948,0.0264937460489276,0.781863226048927,0,3.346876096,89.58277127,1.110908413,0.189661682,23.37296207,7.230913684,104.3886881,0.752985805,15.07511531,1590.677329,0.003089198,0.183835208,19.78855057,28.17107647,28.23731772,5.028755627,0.145111314,58.67418255,49.81635536,7.226950927,40.56232578,0.893036794,36.99843597,37.20415687,0,1.10-1.15,Top 20%,96.61146027000008,1,1,40,36.4659050656098,12.2159834036412,36.4659050656098,12.2159834036412,47889.09705853483,18.852422155,0,37.49853400163822,888.506337030856,0.02604429950289911,0,0.1856940619215155,0.5055874657849253,0.02618087835346371,0,0.4090643691986993,0.4663908636674,0.04042984208735957
