Cell Line,ID,Titer_group,Titer_category,Run Time (hr),input_index,glc,glc_after,glc_feed,osmo,vcd,lac,mu,qglc_poly,qlac_poly,base
CL G,295579,Top 20%,1,230,30,18.4097580541308,18.4097580541308,0.0,250.74890220563643,6.833290079052561,10.116938517283243,0.0018210162078111,0.037130926028475,-0.0456897052095184,67957.1991
CL G,295579,Top 20%,1,240,31,17.3178079719798,17.3178079719798,0.0,249.34987372327944,6.990606293772882,7.97470708791817,0.0058667771698355,0.0169272295064381,-0.0314913884573062,67957.1991
CL G,295579,Top 20%,1,250,32,16.6172781977841,16.6172781977841,0.0,248.58466953509563,7.194832908009786,6.356932126306034,0.0111231189286802,0.0083451012745942,-0.0305288864550716,67957.1991
2000L,295660,Middle 60%,0,0,0,59.9115140211816,,0.0,310.9256722,0.623785348,8.11194219582593,0.1532425933372058,-0.5401717837722767,0.480465918171027,3120.053291
2000L,295660,Middle 60%,0,10,1,62.694884322476,62.694884322476,0.0,306.3594622,0.583934602,11.06352901865,0.0745683202569085,-0.0634475988848938,0.5141152645169089,0.0
2000L,295660,Middle 60%,0,20,2,60.5089638979551,60.5089638979551,0.0,304.1172486,0.736036687,14.0853530861456,0.0020453660062891,0.2392891943170966,0.4163741421647478,0.0
2000L,295660,Middle 60%,0,30,3,58.2734310819511,58.2734310819511,0.0,302.8602654,1.013276727,17.2787078374778,-0.0150610400252284,0.2986088306241273,0.3143055069094264,0.0
2000L,295660,Middle 60%,0,40,4,56.4492445991252,56.4492445991252,0.0,301.7461573,1.37935934,20.5770842251332,0.0248171600554131,0.248154342277095,0.2437690572141706,0.0
2000L,295660,Middle 60%,0,50,5,51.5425461266902,51.54254612669019,0.0,301.1822129,1.845103296,23.8737468139431,0.0755508526449052,0.1600384759814118,0.1949845608035331,216.644619
2000L,295660,Middle 60%,0,60,6,49.9030838162481,49.9030838162481,0.0,303.7032213,2.492735608,27.7591826931616,0.0433137526435738,0.0648098848692934,0.1560707216119294,3962.739251
CL G,295660,Middle 60%,0,0,7,63.9104653744532,63.9104653744532,0.0,297.7562865355882,1.8681908348992124,15.076254705566583,-0.0547270095139015,0.0634399334532566,0.0699242271133464,0.0
CL G,295660,Middle 60%,0,10,8,63.0541910899442,63.0541910899442,0.0,296.4635788394144,1.8931140766577408,17.408060422373623,-0.0237113000639521,0.1050369173450346,0.0776953947950684,0.0
CL G,295660,Middle 60%,0,20,9,60.6300890894558,60.6300890894558,0.0,295.89010270863764,2.0102072825951782,19.72834415034002,-0.0018152326256435,0.1320031494320582,0.070533929370189,0.0
CL G,295660,Middle 60%,0,30,10,57.1955113901285,57.1955113901285,0.0,296.6316913235793,2.338711025847201,21.869222086768808,0.0125426659082642,0.1266679239257221,0.0520664719665149,0.0
CL G,295660,Middle 60%,0,40,11,54.7702071926552,54.7702071926552,0.0,299.01534946123365,2.9699711663902124,23.65473609081321,0.0208134855243193,0.122976015206864,0.041398020554129,137.569952
CL G,295660,Middle 60%,0,50,12,50.8774795621572,50.8774795621572,0.0,302.26175488371007,3.764382857310892,24.966247709414453,0.024317933088377,0.1007913784157469,0.0296548932461327,5923.244262
CL G,295660,Middle 60%,0,60,13,47.5138181020893,47.5138181020893,0.0,304.8538089591841,4.459641257619451,25.697786969739937,0.0242463323456009,0.0712140548708596,0.0195393786315732,23600.27264
CL G,295660,Middle 60%,0,70,14,44.1442481228389,71.6585792008277,27.5143310779888,308.54597112804134,5.1453213658255,26.123403326461823,0.021658623920462,0.0821611948998172,0.0223048845550762,36283.7965399999
CL G,295660,Middle 60%,0,80,15,68.162285075157,68.162285075157,0.0,311.72905045871494,5.886600630856371,25.852051940494597,0.0174843653167392,0.080197452190807,0.0226175203759878,49271.61228
CL G,295660,Middle 60%,0,90,16,62.0151263349541,62.0151263349541,0.0,315.25628057590023,6.472235875753275,25.3856389157932,0.0125227309175189,0.0619074164831434,0.0188058939495922,63855.67406
CL G,295660,Middle 60%,0,100,17,61.7364211572192,61.7364211572192,0.0,319.8212249774489,6.856410390295641,25.259025957943106,0.0074425119851955,0.0617398123643752,0.020701068173354,73778.76663
CL G,295660,Middle 60%,0,110,18,48.0315814571815,48.0315814571815,0.0,322.455373027624,7.044631045002266,25.593468865074573,0.0027821166614712,0.0616859465787856,0.0231745625800792,82232.20665
CL G,295660,Middle 60%,0,120,19,53.748023085548,53.748023085548,0.0,321.06893193900805,6.952598245117716,26.800239655879672,-0.0010504300326441,0.072009228259988,0.030562828297414,92545.3521
CL G,295660,Middle 60%,0,130,20,51.9006922389484,51.9006922389484,0.0,317.85092997670864,6.847511940250152,29.265237018334886,-0.0037774861968332,0.0838639213471218,0.0403631054602927,106130.583
CL G,295660,Middle 60%,0,140,21,46.7106030717822,46.7106030717822,0.0,314.5603740256041,6.534095004263997,33.05064095602508,-0.0052517930514707,0.0758198668728845,0.0414184758440952,121682.2351
CL G,295660,Middle 60%,0,150,22,39.6529387419791,39.6529387419791,0.0,313.2834261719729,6.300541930651644,37.60044149500598,-0.0054564749376232,0.0658319048566901,0.0407874542365815,141505.2168
CL G,295660,Middle 60%,0,160,23,32.726540797975,32.726540797975,0.0,312.14072940363394,6.111580389695107,42.549384148052944,-0.0045050393170504,0.0804340522343629,0.0564288083207794,164189.6158
CL G,295660,Middle 60%,0,170,24,26.1764928950465,26.1764928950465,0.0,312.46539875671465,6.092370467989936,47.90712415231446,-0.0026413767722035,0.0996953652000503,0.0790365494218408,198307.7957
CL G,295660,Middle 60%,0,180,25,18.106141438531,18.106141438531,0.0,315.6095363168212,6.219653075509374,54.30165234872947,-0.0002397610062261,0.0922806752022676,0.0824979780963395,237589.853699999
CL G,295660,Middle 60%,0,190,26,10.8600630509114,10.8600630509114,0.0,322.8554725088919,6.263374260666314,62.08874140823795,0.0021951511570454,0.0951777456788935,0.0957606238612798,275663.774699999
CL G,295660,Middle 60%,0,200,27,7.49049307166112,31.7875413669504,24.29704829528928,333.97502436682504,6.227460041690275,69.17036673780201,0.0040283197730833,0.0873872287925789,0.0987788956654774,296796.7178
CL G,295660,Middle 60%,0,210,28,28.2912472412797,28.2912472412797,0.0,348.55445323589174,6.039293831184199,75.86422506973793,0.0044943217766671,0.0781470772777375,0.0991015047190434,330803.4155
CL G,295660,Middle 60%,0,220,29,22.6065959224227,22.6065959224227,0.0,365.8287436498454,5.812759067233749,81.64457806942866,0.0026973509818832,0.0905604197523934,0.1287089193552407,365099.736899999
CL G,295660,Middle 60%,0,230,30,15.7834724960589,38.5553915856498,22.771919089590902,384.7059963299097,5.656564073667784,86.24403137354689,-0.0023887819178725,0.0709301552583846,0.1129114340742303,407667.7686
CL G,295660,Middle 60%,0,240,31,35.0590974599791,35.0590974599791,0.0,402.84084141622384,5.45910178217822,89.60687510152644,-0.011920649349897,0.094950957349096,0.169268387775975,437155.7202
CL G,295660,Middle 60%,0,250,32,35.2075363185239,35.2075363185239,0.0,417.6692827988056,5.051927924916801,91.85766593437924,-0.0271852068621809,0.1159027167532549,0.2314662113392311,460338.5986
2000L,295661,Top 20%,1,0,0,58.5430177179777,,0.0,297.8534176,0.708094633,9.17582007104795,0.1053545191758681,-0.2253265070880817,0.4300392410111033,0.0
