Cell Line,ID,Titer_group,Titer_category,Run Time (hr),input_step,input_step_2000,input_step_400_2000,input_step_80_400_2000,glc,glc_after,glc_feed,osmo,vcd,lac,mu,qglc_poly,qlac_poly,base
CL G,295008,Middle 60%,0,250,25,32,39,46,27.547051155665,27.547051155665,0.0,287.6762147361099,7.06445838272984,32.00885958962277,0.0071574520198336,0.0557419405744952,0.016504003670427,172892.3035
80L,295009,Top 20%,1,0,0,0,0,0,41.5297073813805,,0.0,278.7364164,0.344148849,2.59814589253996,0.3760329129176839,-2.000251841165672,0.682824774581939,0.0
80L,295009,Top 20%,1,10,1,1,1,1,40.3689629043717,40.3689629043717,0.0,280.3449955,0.459686698,4.57836766207815,0.089776193856027,-0.3138681259722468,0.559482880239279,0.0
80L,295009,Top 20%,1,20,2,2,2,2,39.0809062645707,39.0809062645707,0.0,279.9584675,0.453081399,7.24732070381882,0.0162195632129004,0.3465763286138237,0.6637281289593925,0.0
80L,295009,Top 20%,1,30,3,3,3,3,37.0810251060192,37.0810251060192,0.0,278.2015129,0.507254159,10.6830060612788,0.0205981971607085,0.6175610232942326,0.6642125857309603,0.0
80L,295009,Top 20%,1,40,4,4,4,4,34.4826196740602,34.4826196740602,0.0,277.3834374,0.699123091,14.3869397868561,0.0270786626717816,0.4605105867478232,0.5197129158412369,0.0
80L,295009,Top 20%,1,50,5,5,5,5,32.1578072559337,32.1578072559337,0.0,274.392869,0.848642465,17.7818273645648,0.0187589175183775,0.2061224053946076,0.4398823414056662,8.68666599999999
80L,295009,Top 20%,1,60,6,6,6,6,31.7739825318057,31.7739825318057,0.0,280.0876827,1.395411806,22.129309169627,0.0376683102726785,-0.0888557305470588,0.2731533042775044,63.952518
400L,295009,Top 20%,1,0,0,0,0,7,59.1630968160927,,0.0,281.6882716,0.236455744,4.40322367895204,-0.1527213728683066,0.8265641276410906,0.0855106756506062,0.0
400L,295009,Top 20%,1,10,1,1,1,8,56.9489513532716,56.9489513532716,0.0,290.2352802,0.294508167,5.60419059724689,0.0210187810813433,0.3752436072838339,0.5496935325824698,0.0
400L,295009,Top 20%,1,20,2,2,2,9,56.3425616132685,56.3425616132685,0.0,288.5079645,0.452790206,7.72005526198934,0.0466012580991767,0.1600433603807181,0.5796783214925532,0.0
400L,295009,Top 20%,1,30,3,3,3,10,56.5107666688869,56.51076666888691,0.0,281.8681254,0.655086729,10.2767052175843,0.02803942932811,0.1241165629434517,0.4914918466621768,0.0
400L,295009,Top 20%,1,40,4,4,4,11,55.0341224827371,55.0341224827371,0.0,281.2144802,0.736302949,13.7420920959147,0.0201543604027552,0.1861128608796625,0.4622833493036312,0.0
400L,295009,Top 20%,1,50,5,5,5,12,52.0671438697573,52.0671438697573,0.0,281.8578384,1.025344705,17.6116706594138,0.0285748114494204,0.2337273213433516,0.3098519811633932,0.0
400L,295009,Top 20%,1,60,6,6,6,13,50.1596129243544,50.15961292435441,0.0,283.7840021,1.120729243,19.9675618339254,0.0097372370861091,0.3472328261140046,0.2265875297780975,55.343119
2000L,295009,Top 20%,1,0,0,0,7,14,64.5847380603477,,0.0,294.5468563,0.304274151,4.16333017317939,0.2835500914628044,0.3122306794745661,0.7727282276392753,0.0
